sampleID,date,area,site,plot,rfactor,chinu,chisqr,nvarys,scaleby,P_CaHPO4,P_CaHPO4_sd,HydAp,HydAp_sd,P_ads_ferrihydrite,P_ads_ferrihydrite_sd,P_ATP,P_ATP_sd,AlPO4,AlPO4_sd,PhyAc,PhyAc_sd,P_ads_AlOH3,P_ads_AlOH3_sd,P_goethite_PO4,P_goethite_PO4_sd
OKS_BSeep2_2Jul2019,7/2/19,OKS,seep,2,0.0019938,0.0032,0.62958,3,1,0,0,0.19,0.03,0,0,0,0,0.09,0.02,0,0,0,0,0.73,0.02
OKS_PEXRock1_2Jul2019,7/2/19,OKS,rock,1,0.0144473,0.0291,5.79917,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OKS_PEXRock2_2Jul2019,7/2/19,OKS,rock,2,0.0037772,0.0063,1.24456,3,1,0,0,0.22,0.1,0.46,0.04,0,0,0,0,0,0,0,0,0.32,0.03
OKS_PEXRock3_2Jul2019,7/2/19,OKS,rock,3,0.0119744,0.0232,4.62238,1,1,0,0,0,0,1,0.05,0,0,0,0,0,0,0,0,0,0
OKS_Pond2_2Jul2019,7/2/19,OKS,pond,2,0.00730738,0.0133,2.6312,3,1,0,0,0.07,0.03,0.47,0.08,0,0,0.07,0.04,0,0,0,0,0.4,0.09
OKS_Pond4_2Jul2019,7/2/19,OKS,pond,4,0.0017697,0.0028,0.55918,4,1,0,0,0.22,0.01,0.08,0.08,0.01,0.01,0.09,0.03,0,0,0.02,0.02,0.58,0.09
OKS_Pond6_28Jun2019,6/28/19,OKS,pond,6,0.004845162,0.0083,1.633176923,3,1,0,0,0.12,0.01,0.31,0.08,0,0,0.12,0.04,0,0,0.02,0.01,0.43,0.1
OKS_Pond6_2Jul2019,7/2/19,OKS,pond,6,0.011607384,0.0228,4.498268947,3,1,0,0,0,0,0.82,0.02,0,0,0.06,0.01,0,0,0,0,0.12,0.03
OKS_Pond9_28Jun2019,6/28/19,OKS,pond,9,0.006417775,0.0116,2.306735,3,1,0,0,0.17,0.03,0.63,0.02,0,0,0,0,0,0,0,0,0.2,0.06
OKS_WSedge1_28Jun2019,6/28/19,OKS,sedge,1,0.00514885,0.0092,1.82594,2,1,0,0,0.04,0.01,0.92,0.01,0,0,0.04,0.01,0,0,0,0,0,0
OKS_WSedge1_Pext_28Jun2019_II,6/28/19,OKS,sedge,1.2,0.0072583,0.0136,2.688946667,2,1,0,0,0,0,0.9,0,0,0,0.1,0,0,0,0,0,0,0
TFS_Pond2_PExtII_4Jul2019,7/4/19,TFS,pond,2,0.002816457,0.005,0.993658571,3,1,0,0,0.11,0.01,0.66,0.05,0,0,0.03,0.02,0,0,0,0,0.2,0.05
TFS_Pond3_4Jul2019,7/4/19,TFS,pond,3,0.0161784,0.0317,6.300802,1,1,0,0,0,0,0.88,0.05,0,0,0.03,0.02,0,0,0,0,0.09,0.06
TFS_Pond4_4Jul2019,7/4/19,TFS,pond,4,0.00361847,0.0058,1.135881,2,1,0,0,0.25,0.01,0.08,0.05,0.06,0.03,0.12,0.03,0.01,0.01,0.36,0.07,0.12,0.05
TFS_Pond10_29Jun2019,6/29/19,TFS,pond,10,0.0115165,0.0166,3.288955,3,1,0.08,0.03,0.52,0.02,0.03,0.02,0,0,0.17,0.03,0,0,0.03,0.02,0.16,0.04
TFS_Pond11_29Jun2019,6/29/19,TFS,pond,11,0.008107625,0.0139,2.75127875,2,1,0,0,0.42,0,0.58,0,0,0,0,0,0,0,0,0,0,0
TFS_WSedge1_Pext_II_4Jul2019,7/4/19,TFS,sedge,1,0.012102975,0.0215,4.255845,2,1,0,0,0.27,0.01,0.73,0.01,0,0,0,0,0,0,0,0,0,0
TFS_WSedge10_29Jun2019,6/29/19,TFS,sedge,10,0.016381,0.033849,6.73596,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
