sampleID,hillslope_data,date,area,site,plot,horizon,Si_mgkg,Si_pct,Al_mgkg,Al_pct,Fe_mgkg,Fe_pct,Ca_mgkg,Ca_pct,Mg_mgkg,Na_mgkg,K_mgkg,Cr_mgkg,Ti_mgkg,Mn_mgkg,P_mgkg,Sr_mgkg,Ba_mgkg,LOI_pct
OKS_WSedge1.1_28Jun19,N,6/28/19,OKS,sedge,1,,30194,3.02,10321,1.03,234299,23.43,13865,1.39,1327,519,1826,21,539,1317,567,85,358,56.5
TFS_Pond4_4Jul2019,N,7/4/19,TFS,pond,4,,39916,3.99,6140,0.61,32382,3.24,10578,1.06,844,223,996,68,300,1162,436,85,358,83.5
OKS_Pond4_2Jul2019,N,7/2/19,OKS,pond,4,,77121,7.71,15191,1.52,151070,15.11,11149,1.11,1749,890,2822,62,899,775,1047,85,358,56.2
TFS_WSedge10_29Jun2019,N,6/29/19,TFS,sedge,10,,16639,1.66,7516,0.75,229403,22.94,7147,0.71,724,223,747,14,180,2478,742,<85,179,59
TFS_WSedge1_4Jul2019,N,7/4/19,TFS,sedge,1,,25847,2.58,5081,0.51,254582,25.46,10006,1,603,223,498,14,180,4647,480,85,269,54.7
TFS_Pond11_29Jun2019,N,6/29/19,TFS,pond,11,,349615,34.96,51924,5.19,36579,3.66,8148,0.81,5608,2448,12452,75,4136,697,698,85,358,5.3
OKS_Pond6_2Jul2019,N,7/2/19,OKS,pond,6,,36925,3.69,7728,0.77,291650,29.16,9434,0.94,1025,445,1577,14,480,155,480,85,358,46.9
OKS_Pond2_2Jul2019,N,7/2/19,OKS,pond,2,,100024,10,22284,2.23,133585,13.36,10077,1.01,2352,1261,4400,34,1379,232,1004,85,448,52.2
OKS_Pond9_28Jun2019,N,6/28/19,OKS,pond,9,,339332,33.93,45467,4.55,33012,3.3,13579,1.36,6271,4822,9297,75,3536,310,2444,85,537,8.8
OKS_Pond6_28Jun2019,N,6/28/19,OKS,pond,6,,46974,4.7,8998,0.9,209820,20.98,9720,0.97,1146,519,1494,14,539,155,655,85,358,54.4
OKS_WSedge1.2_28Jun19,N,6/28/19,OKS,sedge,1,,41879,4.19,13656,1.37,248986,24.9,14937,1.49,1628,594,2490,21,779,1472,655,85,448,49.1
TFS_Pond10_29Jun2019,N,6/29/19,TFS,pond,10,,337930,33.79,53459,5.35,35250,3.52,9863,0.99,5970,2300,13448,75,4196,697,786,85,358,6
20210706-E-D2-O,Y,7/6/21,East,Dry,,Organic,40991,4.1,7040,0.7,4616,0.46,4788,0.48,1146,594,2905,14,599,620,655,<85,90,87.8
20210706-E-D2-M,Y,7/6/21,East,Dry,,Mineral,261277,26.13,57958,5.8,31053,3.11,2001,0.2,3859,2300,12784,89,3776,310,742,85,448,23.3
20210706-E-M2-O,Y,7/6/21,East,Mesic,,Organic,47207,4.72,6457,0.65,4616,0.46,4788,0.48,1266,519,2988,21,659,1317,829,<85,90,86.5
20210706-E-M2-M,Y,7/6/21,East,Mesic,,Mineral,343072,34.31,46578,4.66,38467,3.85,1144,0.11,3980,2300,9795,68,4555,310,262,85,358,6.7
20210706-E-H2-O1,Y,7/6/21,East,Hydric,,Organic,20846,2.08,5240,0.52,6434,0.64,17367,1.74,1568,594,1162,14,360,1626,567,<85,269,89.6
20210706-E-H2-O2,Y,7/6/21,East,Hydric,,Subsurface Organic,91844,9.18,33769,3.38,109106,10.91,4217,0.42,1990,1113,5894,41,1738,3950,1135,<85,448,54.5
20210707-W-D3-O1,Y,7/7/21,West,Dry,,Organic,29399,2.94,7040,0.7,4616,0.46,18368,1.84,1387,371,2324,14,539,929,698,<85,90,87.8
20210707-W-D3-O2,Y,7/7/21,West,Dry,,Subsurface Organic,123394,12.34,31229,3.12,19024,1.9,17510,1.75,2894,1410,6807,48,2158,1472,1091,<85,269,58.9
20210707-W-M2-O1,Y,7/7/21,West,Mesic,,Organic,9628,0.96,2223,0.22,1888,0.19,16224,1.62,1146,148,913,<14,180,1007,786,<85,90,94.1
20210707-W-M2-O2,Y,7/7/21,West,Mesic,,Subsurface Organic,27810,2.78,7728,0.77,15737,1.57,16295,1.63,1085,371,1328,14,480,8829,1309,<85,269,84.7
20210707-W-H1-O1,Y,7/7/21,West,Hydric,,Organic,31596,3.16,6722,0.67,16296,1.63,22299,2.23,1508,445,1577,14,539,9139,786,<85,717,83.5
20210707-W-H1-O2,Y,7/7/21,West,Hydric,,Subsurface Organic,31129,3.11,6934,0.69,2798,0.28,17725,1.77,1327,371,1411,14,539,232,567,<85,90,88
20210706-E-D1-O1,Y,7/6/21,East,Dry,,Organic,20519,2.05,3917,0.39,2937,0.29,6861,0.69,905,519,1826,<14,300,697,742,<85,90,92.6
20210707-E-M1-O1,Y,7/7/21,East,Mesic,,Organic,17714,1.77,5293,0.53,3707,0.37,7290,0.73,1146,445,2075,14,300,1162,873,<85,179,92.5
20210706-E-H3-O1,Y,7/6/21,East,Hydric,,Organic,28558,2.86,6034,0.6,7973,0.8,11864,1.19,1508,742,1909,34,480,2169,655,<85,179,88.6
20210707-W-D2-O,Y,7/7/21,West,Dry,,Organic,61931,6.19,13127,1.31,10491,1.05,18153,1.82,1688,742,2988,21,1079,542,960,<85,179,78.5
20210707-W-M3-O1,Y,7/7/21,West,Mesic,,Organic,5796,0.58,1376,0.14,1259,0.13,21584,2.16,1327,148,1162,<14,120,542,786,<85,90,94.6
20210707-W-H2-O1,Y,7/7/21,West,Hydric,,Organic,29914,2.99,6246,0.62,31963,3.2,18654,1.87,1387,371,1494,14,539,2246,786,<85,179,83.8
20210706-E-D1-O2,Y,7/6/21,East,Dry,,Subsurface Organic,37953,3.8,17096,1.71,9162,0.92,12293,1.23,1568,594,3735,21,659,1239,1047,<85,179,84.1
